,cat_id,store_id,Date,dayofyear,weekofyear,monthstart,quarterstart,yearstart,Sales
0,FOODS,CA_1,2011-01-29,29,4,0,0,0,3239
1,FOODS,CA_1,2011-01-30,30,4,0,0,0,3137
2,FOODS,CA_1,2011-01-31,31,5,0,0,0,2008
3,FOODS,CA_1,2011-02-01,32,5,1,0,0,2258
4,FOODS,CA_1,2011-02-02,33,5,0,0,0,2032
5,FOODS,CA_1,2011-02-03,34,5,0,0,0,2407
6,FOODS,CA_1,2011-02-04,35,5,0,0,0,2693
7,FOODS,CA_1,2011-02-05,36,5,0,0,0,3962
8,FOODS,CA_1,2011-02-06,37,5,0,0,0,3418
9,FOODS,CA_1,2011-02-07,38,6,0,0,0,2446
10,FOODS,CA_1,2011-02-08,39,6,0,0,0,2138
11,FOODS,CA_1,2011-02-09,40,6,0,0,0,2001
12,FOODS,CA_1,2011-02-10,41,6,0,0,0,2137
13,FOODS,CA_1,2011-02-11,42,6,0,0,0,2217
14,FOODS,CA_1,2011-02-12,43,6,0,0,0,3067
15,FOODS,CA_1,2011-02-13,44,6,0,0,0,3313
16,FOODS,CA_1,2011-02-14,45,7,0,0,0,2003
17,FOODS,CA_1,2011-02-15,46,7,0,0,0,1779
18,FOODS,CA_1,2011-02-16,47,7,0,0,0,1670
19,FOODS,CA_1,2011-02-17,48,7,0,0,0,1433
20,FOODS,CA_1,2011-02-18,49,7,0,0,0,2250
21,FOODS,CA_1,2011-02-19,50,7,0,0,0,3148
22,FOODS,CA_1,2011-02-20,51,7,0,0,0,2864
23,FOODS,CA_1,2011-02-21,52,8,0,0,0,2105
24,FOODS,CA_1,2011-02-22,53,8,0,0,0,1621
25,FOODS,CA_1,2011-02-23,54,8,0,0,0,1608
26,FOODS,CA_1,2011-02-24,55,8,0,0,0,1639
27,FOODS,CA_1,2011-02-25,56,8,0,0,0,1875
28,FOODS,CA_1,2011-02-26,57,8,0,0,0,2574
29,FOODS,CA_1,2011-02-27,58,8,0,0,0,2733
30,FOODS,CA_1,2011-02-28,59,9,0,0,0,1732
31,FOODS,CA_1,2011-03-01,60,9,1,0,0,1896
32,FOODS,CA_1,2011-03-02,61,9,0,0,0,1965
33,FOODS,CA_1,2011-03-03,62,9,0,0,0,1984
34,FOODS,CA_1,2011-03-04,63,9,0,0,0,2369
35,FOODS,CA_1,2011-03-05,64,9,0,0,0,3223
36,FOODS,CA_1,2011-03-06,65,9,0,0,0,3464
37,FOODS,CA_1,2011-03-07,66,10,0,0,0,2262
38,FOODS,CA_1,2011-03-08,67,10,0,0,0,2165
39,FOODS,CA_1,2011-03-09,68,10,0,0,0,2100
40,FOODS,CA_1,2011-03-10,69,10,0,0,0,2003
41,FOODS,CA_1,2011-03-11,70,10,0,0,0,2480
42,FOODS,CA_1,2011-03-12,71,10,0,0,0,2895
43,FOODS,CA_1,2011-03-13,72,10,0,0,0,3081
44,FOODS,CA_1,2011-03-14,73,11,0,0,0,2079
45,FOODS,CA_1,2011-03-15,74,11,0,0,0,1656
46,FOODS,CA_1,2011-03-16,75,11,0,0,0,1805
47,FOODS,CA_1,2011-03-17,76,11,0,0,0,1657
48,FOODS,CA_1,2011-03-18,77,11,0,0,0,2005
49,FOODS,CA_1,2011-03-19,78,11,0,0,0,2826
50,FOODS,CA_1,2011-03-20,79,11,0,0,0,2795
51,FOODS,CA_1,2011-03-21,80,12,0,0,0,1935
52,FOODS,CA_1,2011-03-22,81,12,0,0,0,1595
53,FOODS,CA_1,2011-03-23,82,12,0,0,0,1473
54,FOODS,CA_1,2011-03-24,83,12,0,0,0,1431
55,FOODS,CA_1,2011-03-25,84,12,0,0,0,1869
56,FOODS,CA_1,2011-03-26,85,12,0,0,0,2648
57,FOODS,CA_1,2011-03-27,86,12,0,0,0,2801
58,FOODS,CA_1,2011-03-28,87,13,0,0,0,1903
59,FOODS,CA_1,2011-03-29,88,13,0,0,0,1471
60,FOODS,CA_1,2011-03-30,89,13,0,0,0,1612
61,FOODS,CA_1,2011-03-31,90,13,0,0,0,1849
62,FOODS,CA_1,2011-04-01,91,13,1,1,0,2528
63,FOODS,CA_1,2011-04-02,92,13,0,0,0,3013
64,FOODS,CA_1,2011-04-03,93,13,0,0,0,3136
65,FOODS,CA_1,2011-04-04,94,14,0,0,0,2615
66,FOODS,CA_1,2011-04-05,95,14,0,0,0,2047
67,FOODS,CA_1,2011-04-06,96,14,0,0,0,1897
68,FOODS,CA_1,2011-04-07,97,14,0,0,0,2150
69,FOODS,CA_1,2011-04-08,98,14,0,0,0,2342
70,FOODS,CA_1,2011-04-09,99,14,0,0,0,2825
71,FOODS,CA_1,2011-04-10,100,14,0,0,0,2978
72,FOODS,CA_1,2011-04-11,101,15,0,0,0,2007
73,FOODS,CA_1,2011-04-12,102,15,0,0,0,1653
74,FOODS,CA_1,2011-04-13,103,15,0,0,0,1550
75,FOODS,CA_1,2011-04-14,104,15,0,0,0,1631
76,FOODS,CA_1,2011-04-15,105,15,0,0,0,2141
77,FOODS,CA_1,2011-04-16,106,15,0,0,0,2465
78,FOODS,CA_1,2011-04-17,107,15,0,0,0,2980
79,FOODS,CA_1,2011-04-18,108,16,0,0,0,1833
80,FOODS,CA_1,2011-04-19,109,16,0,0,0,1628
81,FOODS,CA_1,2011-04-20,110,16,0,0,0,1520
82,FOODS,CA_1,2011-04-21,111,16,0,0,0,1759
83,FOODS,CA_1,2011-04-22,112,16,0,0,0,2274
84,FOODS,CA_1,2011-04-23,113,16,0,0,0,2909
85,FOODS,CA_1,2011-04-24,114,16,0,0,0,2051
86,FOODS,CA_1,2011-04-25,115,17,0,0,0,1518
87,FOODS,CA_1,2011-04-26,116,17,0,0,0,1411
88,FOODS,CA_1,2011-04-27,117,17,0,0,0,1294
89,FOODS,CA_1,2011-04-28,118,17,0,0,0,1374
90,FOODS,CA_1,2011-04-29,119,17,0,0,0,1808
91,FOODS,CA_1,2011-04-30,120,17,0,0,0,2278
92,FOODS,CA_1,2011-05-01,121,17,1,0,0,2550
93,FOODS,CA_1,2011-05-02,122,18,0,0,0,1962
94,FOODS,CA_1,2011-05-03,123,18,0,0,0,2044
95,FOODS,CA_1,2011-05-04,124,18,0,0,0,1924
96,FOODS,CA_1,2011-05-05,125,18,0,0,0,1648
97,FOODS,CA_1,2011-05-06,126,18,0,0,0,2322
98,FOODS,CA_1,2011-05-07,127,18,0,0,0,2605
99,FOODS,CA_1,2011-05-08,128,18,0,0,0,2096
100,FOODS,CA_1,2011-05-09,129,19,0,0,0,2199
101,FOODS,CA_1,2011-05-10,130,19,0,0,0,2044
102,FOODS,CA_1,2011-05-11,131,19,0,0,0,1797
103,FOODS,CA_1,2011-05-12,132,19,0,0,0,1630
104,FOODS,CA_1,2011-05-13,133,19,0,0,0,2078
105,FOODS,CA_1,2011-05-14,134,19,0,0,0,2608
106,FOODS,CA_1,2011-05-15,135,19,0,0,0,2704
107,FOODS,CA_1,2011-05-16,136,20,0,0,0,1651
108,FOODS,CA_1,2011-05-17,137,20,0,0,0,1550
109,FOODS,CA_1,2011-05-18,138,20,0,0,0,1535
110,FOODS,CA_1,2011-05-19,139,20,0,0,0,1516
111,FOODS,CA_1,2011-05-20,140,20,0,0,0,1847
112,FOODS,CA_1,2011-05-21,141,20,0,0,0,2332
113,FOODS,CA_1,2011-05-22,142,20,0,0,0,2525
114,FOODS,CA_1,2011-05-23,143,21,0,0,0,1648
115,FOODS,CA_1,2011-05-24,144,21,0,0,0,1556
116,FOODS,CA_1,2011-05-25,145,21,0,0,0,1512
117,FOODS,CA_1,2011-05-26,146,21,0,0,0,1487
118,FOODS,CA_1,2011-05-27,147,21,0,0,0,1786
119,FOODS,CA_1,2011-05-28,148,21,0,0,0,2140
120,FOODS,CA_1,2011-05-29,149,21,0,0,0,2270
121,FOODS,CA_1,2011-05-30,150,22,0,0,0,2013
122,FOODS,CA_1,2011-05-31,151,22,0,0,0,1505
123,FOODS,CA_1,2011-06-01,152,22,1,0,0,1701
124,FOODS,CA_1,2011-06-02,153,22,0,0,0,1748
125,FOODS,CA_1,2011-06-03,154,22,0,0,0,2265
126,FOODS,CA_1,2011-06-04,155,22,0,0,0,2842
127,FOODS,CA_1,2011-06-05,156,22,0,0,0,2832
128,FOODS,CA_1,2011-06-06,157,23,0,0,0,2187
129,FOODS,CA_1,2011-06-07,158,23,0,0,0,1963
130,FOODS,CA_1,2011-06-08,159,23,0,0,0,1809
131,FOODS,CA_1,2011-06-09,160,23,0,0,0,2039
132,FOODS,CA_1,2011-06-10,161,23,0,0,0,2447
133,FOODS,CA_1,2011-06-11,162,23,0,0,0,2435
134,FOODS,CA_1,2011-06-12,163,23,0,0,0,2586
135,FOODS,CA_1,2011-06-13,164,24,0,0,0,2215
136,FOODS,CA_1,2011-06-14,165,24,0,0,0,2035
137,FOODS,CA_1,2011-06-15,166,24,0,0,0,1973
138,FOODS,CA_1,2011-06-16,167,24,0,0,0,1743
139,FOODS,CA_1,2011-06-17,168,24,0,0,0,1996
140,FOODS,CA_1,2011-06-18,169,24,0,0,0,2539
141,FOODS,CA_1,2011-06-19,170,24,0,0,0,2200
142,FOODS,CA_1,2011-06-20,171,25,0,0,0,2062
143,FOODS,CA_1,2011-06-21,172,25,0,0,0,2144
144,FOODS,CA_1,2011-06-22,173,25,0,0,0,1735
145,FOODS,CA_1,2011-06-23,174,25,0,0,0,1806
146,FOODS,CA_1,2011-06-24,175,25,0,0,0,2092
147,FOODS,CA_1,2011-06-25,176,25,0,0,0,2299
148,FOODS,CA_1,2011-06-26,177,25,0,0,0,2491
149,FOODS,CA_1,2011-06-27,178,26,0,0,0,1927
